description,industry,level,size,line_code,value,standard
Percentage of staff with internet access: 26-50%,Accommodation & food services,1,total,B0300.02,474,Low
Percentage of staff with internet access: 26-50%,"Transport, postal, & warehousing",1,total,B0300.02,66,Low
Percentage of staff with internet access: 26-50%,Information media & telecommunications,1,total,B0300.02,9,Low
Percentage of staff with internet access: 26-50%,Publishing,2,total,B0300.02,0,Low
Percentage of staff with internet access: 26-50%,Motion picture,2,total,B0300.02,6,Low
Percentage of staff with internet access: 26-50%,Telecommunications,2,total,B0300.02,0,Low
Percentage of staff with internet access: 26-50%,Financial & insurance services,1,total,B0300.02,6,Low
Percentage of staff with internet access: 26-50%,Finance,2,total,B0300.02,3,Low
Percentage of staff with internet access: 26-50%,Insurance,2,total,B0300.02,0,Low
Percentage of staff with internet access: 26-50%,Auxiliary,2,total,B0300.02,3,Low
Percentage of staff with internet access: 26-50%,"Rental, hiring, & real estate services",1,total,B0300.02,39,Low
Percentage of staff with internet access: 26-50%,"Professional, scientific, & technical services",1,total,B0300.02,39,Low
Percentage of staff with internet access: 26-50%,Computer systems design,2,total,B0300.02,3,Low
Percentage of staff with internet access: 26-50%,Other professional scientific,2,total,B0300.02,39,Low
Percentage of staff with internet access: 26-50%,Administrative & support services,1,total,B0300.02,105,Low
Percentage of staff with internet access: 26-50%,Education & training,1,total,B0300.02,18,Low
Percentage of staff with internet access: 26-50%,Health care & social assistance,1,total,B0300.02,165,Low
Percentage of staff with internet access: 26-50%,Arts & recreation services,1,total,B0300.02,78,Low
Percentage of staff with internet access: 26-50%,Other services,1,total,B0300.02,69,Low
Percentage of staff with internet access: 26-50%,total,0,total,B0300.02,3834,High
Percentage of staff with internet access: 51-75%,total,0,6–19 employees,B0300.03,1665,High
Percentage of staff with internet access: 51-75%,total,0,20–49 employees,B0300.03,684,Low
Percentage of staff with internet access: 51-75%,total,0,50–99 employees,B0300.03,234,Low
Percentage of staff with internet access: 51-75%,total,0,100+ employees,B0300.03,192,Low
